date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:39:10	230625/230625	---MCZ	200	added ('OK')	text/css	date:Tue,%2020%20Sep%202022%2018:53:36%20GMT	https://c0.wp.com/p/woocommerce/7.0.0/packages/woocommerce-blocks/build/wc-blocks-style.css	D:/Jomwanje's%20Production%20Tools/Wanjeri/c0.wp.com/p/woocommerce/7.0.0/packages/woocommerce-blocks/build/wc-blocks-style.css	(from https://wanjerisolutions.com/)
12:39:10	21882/21882	---M-Z	200	added ('OK')	text/css	date:Mon,%2010%20Oct%202022%2019:41:11%20GMT	https://wanjerisolutions.com/wp-content/plugins/chaty/css/chaty-front.min.css?ver=16615070593.0.1	D:/Jomwanje's%20Production%20Tools/Wanjeri/wanjerisolutions.com/wp-content/plugins/chaty/css/chaty-front.minc03b.css	(from https://wanjerisolutions.com/)
12:39:10	1087/1087	---M-Z	200	added ('OK')	text/css	date:Fri,%2026%20Aug%202022%2009:53:04%20GMT	https://wanjerisolutions.com/wp-content/plugins/order-on-mobile-for-woocommerce/public/css/woocommerce-order-on-whatsapp-public.css?ver=2.0	D:/Jomwanje's%20Production%20Tools/Wanjeri/wanjerisolutions.com/wp-content/plugins/order-on-mobile-for-woocommerce/public/css/woocommerce-order-on-whatsapp-publicd5f7.css	(from https://wanjerisolutions.com/)
12:39:10	400/400	---M-Z	200	added ('OK')	text/css	date:Thu,%2018%20Aug%202022%2023:23:55%20GMT	https://wanjerisolutions.com/wp-content/plugins/woo-m-pesa-payment-gateway//display.css?ver=1.1	D:/Jomwanje's%20Production%20Tools/Wanjeri/wanjerisolutions.com/wp-content/plugins/woo-m-pesa-payment-gateway/display4963.css	(from https://wanjerisolutions.com/)
12:39:11	407/407	---M-Z	200	added ('OK')	text/css	date:Wed,%2005%20Oct%202022%2007:44:52%20GMT	https://wanjerisolutions.com/wp-content/plugins/woocommerce-menu-bar-cart/assets/css/wpmenucart-icons.min.css?ver=2.12.1	D:/Jomwanje's%20Production%20Tools/Wanjeri/wanjerisolutions.com/wp-content/plugins/woocommerce-menu-bar-cart/assets/css/wpmenucart-icons.min0e78.css	(from https://wanjerisolutions.com/)
12:39:11	1287/1287	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	date:Wed,%2005%20Oct%202022%2007:44:52%20GMT	https://wanjerisolutions.com/wp-content/plugins/woocommerce-menu-bar-cart/assets/fonts/WPMenuCart.eot	D:/Jomwanje's%20Production%20Tools/Wanjeri/wanjerisolutions.com/wp-content/plugins/woocommerce-menu-bar-cart/assets/fonts/WPMenuCart.eot	(from https://wanjerisolutions.com/)
12:39:11	1002/1002	---M-Z	200	added ('OK')	text/css	date:Wed,%2005%20Oct%202022%2007:44:52%20GMT	https://wanjerisolutions.com/wp-content/plugins/woocommerce-menu-bar-cart/assets/css/wpmenucart-main.min.css?ver=2.12.1	D:/Jomwanje's%20Production%20Tools/Wanjeri/wanjerisolutions.com/wp-content/plugins/woocommerce-menu-bar-cart/assets/css/wpmenucart-main.min0e78.css	(from https://wanjerisolutions.com/)
12:39:12	10372/10372	---M-Z	200	added ('OK')	text/css	date:Wed,%2024%20Aug%202022%2022:11:35%20GMT	https://wanjerisolutions.com/wp-content/plugins/oneclick-whatsapp-order/assets/css/main-style.css?ver=6.0.2	D:/Jomwanje's%20Production%20Tools/Wanjeri/wanjerisolutions.com/wp-content/plugins/oneclick-whatsapp-order/assets/css/main-style5b21.css	(from https://wanjerisolutions.com/)
12:39:12	34870/34870	---M-Z	200	added ('OK')	text/css	date:Thu,%2029%20Sep%202022%2020:00:32%20GMT	https://wanjerisolutions.com/wp-content/plugins/woo-variation-swatches/assets/css/frontend.min.css?ver=1664481632	D:/Jomwanje's%20Production%20Tools/Wanjeri/wanjerisolutions.com/wp-content/plugins/woo-variation-swatches/assets/css/frontend.min19ac.css	(from https://wanjerisolutions.com/)
12:39:12	4404/4404	---M--	200	added ('OK')	font/woff2	date:Wed,%2005%20Oct%202022%2007:44:48%20GMT	https://wanjerisolutions.com/wp-content/plugins/ti-woocommerce-wishlist/assets/fonts/tinvwl-webfont.woff2?ver=xu2uyi	D:/Jomwanje's%20Production%20Tools/Wanjeri/wanjerisolutions.com/wp-content/plugins/ti-woocommerce-wishlist/assets/fonts/tinvwl-webfontffc1.woff2	(from https://wanjerisolutions.com/)
12:39:12	3407/3407	---M-Z	200	added ('OK')	text/css	date:Wed,%2005%20Oct%202022%2007:44:48%20GMT	https://wanjerisolutions.com/wp-content/plugins/ti-woocommerce-wishlist/assets/css/webfont.min.css?ver=2.0.6	D:/Jomwanje's%20Production%20Tools/Wanjeri/wanjerisolutions.com/wp-content/plugins/ti-woocommerce-wishlist/assets/css/webfont.min1717.css	(from https://wanjerisolutions.com/)
12:39:13	32855/32855	---M-Z	200	added ('OK')	text/css	date:Wed,%2005%20Oct%202022%2007:44:48%20GMT	https://wanjerisolutions.com/wp-content/plugins/ti-woocommerce-wishlist/assets/css/public.min.css?ver=2.0.6	D:/Jomwanje's%20Production%20Tools/Wanjeri/wanjerisolutions.com/wp-content/plugins/ti-woocommerce-wishlist/assets/css/public.min1717.css	(from https://wanjerisolutions.com/)
12:39:13	271597/271597	---M-Z	200	added ('OK')	text/css	date:Sun,%2014%20Aug%202022%2012:24:02%20GMT	https://wanjerisolutions.com/wp-content/themes/woostify/style.css?ver=2.1.4	D:/Jomwanje's%20Production%20Tools/Wanjeri/wanjerisolutions.com/wp-content/themes/woostify/style6b25.css	(from https://wanjerisolutions.com/)
12:39:13	24481/24481	---M-Z	200	added ('OK')	text/css	date:Fri,%2014%20Oct%202022%2012:59:19%20GMT	https://wanjerisolutions.com/wp-content/woostify-stylesheet/woostify-dynamic-css.css?ver=2.1.4	D:/Jomwanje's%20Production%20Tools/Wanjeri/wanjerisolutions.com/wp-content/woostify-stylesheet/woostify-dynamic-css6b25.css	(from https://wanjerisolutions.com/)
12:39:13	19279/19279	---M-Z	200	added ('OK')	text/css	date:Sun,%2002%20Oct%202022%2019:54:47%20GMT	https://wanjerisolutions.com/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.16.0	D:/Jomwanje's%20Production%20Tools/Wanjeri/wanjerisolutions.com/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min91ce.css	(from https://wanjerisolutions.com/)
12:39:14	108428/108428	---M-Z	200	added ('OK')	text/css	date:Sun,%2002%20Oct%202022%2019:54:45%20GMT	https://wanjerisolutions.com/wp-content/plugins/elementor/assets/css/frontend-lite.min.css?ver=3.7.8	D:/Jomwanje's%20Production%20Tools/Wanjeri/wanjerisolutions.com/wp-content/plugins/elementor/assets/css/frontend-lite.min3621.css	(from https://wanjerisolutions.com/)
12:39:14	1778/1778	---M-Z	200	added ('OK')	text/css	date:Sun,%2002%20Oct%202022%2023:11:28%20GMT	https://wanjerisolutions.com/wp-content/uploads/elementor/css/post-41.css?ver=1664752288	D:/Jomwanje's%20Production%20Tools/Wanjeri/wanjerisolutions.com/wp-content/uploads/elementor/css/post-4148fc.css	(from https://wanjerisolutions.com/)
12:39:14	5096/5096	---M-Z	200	added ('OK')	text/css	date:Sun,%2002%20Oct%202022%2023:11:28%20GMT	https://wanjerisolutions.com/wp-content/uploads/elementor/css/global.css?ver=1664752288	D:/Jomwanje's%20Production%20Tools/Wanjeri/wanjerisolutions.com/wp-content/uploads/elementor/css/global48fc.css	(from https://wanjerisolutions.com/)
12:39:15	15722/15722	---M-Z	200	added ('OK')	text/css	date:Sun,%2002%20Oct%202022%2023:11:28%20GMT	https://wanjerisolutions.com/wp-content/uploads/elementor/css/post-83.css?ver=1664752288	D:/Jomwanje's%20Production%20Tools/Wanjeri/wanjerisolutions.com/wp-content/uploads/elementor/css/post-8348fc.css	(from https://wanjerisolutions.com/)
12:39:15	57912/57912	---M-Z	200	added ('OK')	text/css	date:Sun,%2002%20Oct%202022%2019:54:46%20GMT	https://wanjerisolutions.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/fontawesome.min.css?ver=5.15.3	D:/Jomwanje's%20Production%20Tools/Wanjeri/wanjerisolutions.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/fontawesome.min52d5.css	(from https://wanjerisolutions.com/)
12:39:15	675/675	---M-Z	200	added ('OK')	text/css	date:Sun,%2002%20Oct%202022%2019:54:46%20GMT	https://wanjerisolutions.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/brands.min.css?ver=5.15.3	D:/Jomwanje's%20Production%20Tools/Wanjeri/wanjerisolutions.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/brands.min52d5.css	(from https://wanjerisolutions.com/)
12:39:15	669/669	---M-Z	200	added ('OK')	text/css	date:Sun,%2002%20Oct%202022%2019:54:46%20GMT	https://wanjerisolutions.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/solid.min.css?ver=5.15.3	D:/Jomwanje's%20Production%20Tools/Wanjeri/wanjerisolutions.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/solid.min52d5.css	(from https://wanjerisolutions.com/)
12:39:16	85752/85752	---MCZ	200	added ('OK')	text/css	date:Thu,%2022%20Sep%202022%2017:43:06%20GMT	https://c0.wp.com/p/jetpack/11.4/css/jetpack.css	D:/Jomwanje's%20Production%20Tools/Wanjeri/c0.wp.com/p/jetpack/11.4/css/jetpack.css	(from https://wanjerisolutions.com/)
12:39:16	89521/89521	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2010%20Mar%202021%2015:07:24%20GMT	https://c0.wp.com/c/6.0.2/wp-includes/js/jquery/jquery.min.js	D:/Jomwanje's%20Production%20Tools/Wanjeri/c0.wp.com/c/6.0.2/wp-includes/js/jquery/jquery.min.js	(from https://wanjerisolutions.com/)
12:39:16	11224/11224	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2018%20Nov%202020%2009:06:06%20GMT	https://c0.wp.com/c/6.0.2/wp-includes/js/jquery/jquery-migrate.min.js	D:/Jomwanje's%20Production%20Tools/Wanjeri/c0.wp.com/c/6.0.2/wp-includes/js/jquery/jquery-migrate.min.js	(from https://wanjerisolutions.com/)
12:39:17	58143/58143	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2010%20Oct%202022%2019:41:11%20GMT	https://wanjerisolutions.com/wp-content/plugins/chaty/js/cht-front-script.min.js?ver=16615070593.0.1	D:/Jomwanje's%20Production%20Tools/Wanjeri/wanjerisolutions.com/wp-content/plugins/chaty/js/cht-front-script.minc03b.js	(from https://wanjerisolutions.com/)
12:39:18	1342/1342	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2026%20Aug%202022%2009:53:04%20GMT	https://wanjerisolutions.com/wp-content/plugins/order-on-mobile-for-woocommerce/public/js/woocommerce-order-on-whatsapp-public.js?ver=2.0	D:/Jomwanje's%20Production%20Tools/Wanjeri/wanjerisolutions.com/wp-content/plugins/order-on-mobile-for-woocommerce/public/js/woocommerce-order-on-whatsapp-publicd5f7.js	(from https://wanjerisolutions.com/)
12:39:18	1776/1776	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2018%20Aug%202022%2023:23:55%20GMT	https://wanjerisolutions.com/wp-content/plugins/woo-m-pesa-payment-gateway/trxcheck.js?ver=6.0.2	D:/Jomwanje's%20Production%20Tools/Wanjeri/wanjerisolutions.com/wp-content/plugins/woo-m-pesa-payment-gateway/trxcheck5b21.js	(from https://wanjerisolutions.com/)
12:39:19	9364/9364	---MCZ	200	added ('OK')	application/javascript	etag:W/%226197c5cf-2494%22	https://stats.wp.com/s-202241.js	D:/Jomwanje's%20Production%20Tools/Wanjeri/stats.wp.com/s-202241.js	(from https://wanjerisolutions.com/)
12:39:20	1045/1045	---M-Z	200	added ('OK')	application/xml	date:Wed,%2011%20Dec%202013%2019:49:11%20GMT	https://wanjerisolutions.com/wp-includes/wlwmanifest.xml	D:/Jomwanje's%20Production%20Tools/Wanjeri/wanjerisolutions.com/wp-includes/wlwmanifest.xml	(from https://wanjerisolutions.com/)
12:39:22	2364/2364	---M-Z	200	added ('OK')	application/json	date:Sun,%2016%20Oct%202022%2009:40:35%20GMT	https://wanjerisolutions.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwanjerisolutions.com%2F	D:/Jomwanje's%20Production%20Tools/Wanjeri/wanjerisolutions.com/wp-json/oembed/1.0/embed7fa4.json	(from https://wanjerisolutions.com/)
12:39:22	1157231/1157231	---MCZ	200	added ('OK')	application/json	date:Sun,%2016%20Oct%202022%2009:40:35%20GMT	https://wanjerisolutions.com/wp-json/	D:/Jomwanje's%20Production%20Tools/Wanjeri/wanjerisolutions.com/wp-json/index.html	(from https://wanjerisolutions.com/)
12:39:23	2436/2436	---M-Z	200	added ('OK')	text/xml	date:Sun,%2016%20Oct%202022%2009:40:36%20GMT	https://wanjerisolutions.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwanjerisolutions.com%2F&format=xml	D:/Jomwanje's%20Production%20Tools/Wanjeri/wanjerisolutions.com/wp-json/oembed/1.0/embed0e48	(from https://wanjerisolutions.com/)
12:39:24	4710/4710	---M--	200	added ('OK')	image/png	date:Thu,%2018%20Aug%202022%2002:13:33%20GMT	https://wanjerisolutions.com/wp-content/uploads/2022/08/Orange-White-Simple-Circle-M-P-Letter-Initial-Logo-1-300x300.png	D:/Jomwanje's%20Production%20Tools/Wanjeri/wanjerisolutions.com/wp-content/uploads/2022/08/Orange-White-Simple-Circle-M-P-Letter-Initial-Logo-1-300x300.png	(from https://wanjerisolutions.com/)
12:39:24	8159/8159	---M--	200	added ('OK')	image/png	date:Thu,%2018%20Aug%202022%2002:13:33%20GMT	https://wanjerisolutions.com/wp-content/uploads/2022/08/Orange-White-Simple-Circle-M-P-Letter-Initial-Logo-1.png	D:/Jomwanje's%20Production%20Tools/Wanjeri/wanjerisolutions.com/wp-content/uploads/2022/08/Orange-White-Simple-Circle-M-P-Letter-Initial-Logo-1.png	(from https://wanjerisolutions.com/)
12:39:26	355690/355690	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2016%20Oct%202022%2009:40:38%20GMT	https://wanjerisolutions.com/shopping-cart-2.svg	D:/Jomwanje's%20Production%20Tools/Wanjeri/wanjerisolutions.com/shopping-cart-2.svg	(from https://wanjerisolutions.com/)
12:39:30	380499/380499	---MCZ	200	added ('OK')	text/html	date:Sun,%2016%20Oct%202022%2009:40:40%20GMT	https://wanjerisolutions.com/product-category/writing-accounts/	D:/Jomwanje's%20Production%20Tools/Wanjeri/wanjerisolutions.com/product-category/writing-accounts/index.html	(from https://wanjerisolutions.com/)
12:39:30	374709/374709	---MCZ	200	added ('OK')	text/html	date:Sun,%2016%20Oct%202022%2009:40:40%20GMT	https://wanjerisolutions.com/product-category/entertainment/	D:/Jomwanje's%20Production%20Tools/Wanjeri/wanjerisolutions.com/product-category/entertainment/index.html	(from https://wanjerisolutions.com/)
12:39:31	402826/402826	---MCZ	200	added ('OK')	text/html	date:Sun,%2016%20Oct%202022%2009:40:40%20GMT	https://wanjerisolutions.com/product-category/writing-tools/	D:/Jomwanje's%20Production%20Tools/Wanjeri/wanjerisolutions.com/product-category/writing-tools/index.html	(from https://wanjerisolutions.com/)
12:39:31	419770/419770	---MCZ	200	added ('OK')	text/html	date:Sun,%2016%20Oct%202022%2009:40:41%20GMT	https://wanjerisolutions.com/product-category/super-unlocks/	D:/Jomwanje's%20Production%20Tools/Wanjeri/wanjerisolutions.com/product-category/super-unlocks/index.html	(from https://wanjerisolutions.com/)
12:39:33	12992/12992	---M-Z	200	added ('OK')	text/css	date:Sun,%2002%20Oct%202022%2019:54:45%20GMT	https://wanjerisolutions.com/wp-content/plugins/elementor/assets/css/widget-icon-box.min.css	D:/Jomwanje's%20Production%20Tools/Wanjeri/wanjerisolutions.com/wp-content/plugins/elementor/assets/css/widget-icon-box.min.css	(from https://wanjerisolutions.com/)
12:39:33	359793/359793	---MCZ	200	added ('OK')	text/html	date:Sun,%2016%20Oct%202022%2009:40:45%20GMT	https://wanjerisolutions.com/my-account/	D:/Jomwanje's%20Production%20Tools/Wanjeri/wanjerisolutions.com/my-account/index.html	(from https://wanjerisolutions.com/)
12:39:33	18136/18136	---M--	200	added ('OK')	image/png	date:Thu,%2018%20Aug%202022%2001:16:59%20GMT	https://wanjerisolutions.com/wp-content/uploads/2022/08/2-1-300x300-1-300x225.png	D:/Jomwanje's%20Production%20Tools/Wanjeri/wanjerisolutions.com/wp-content/uploads/2022/08/2-1-300x300-1-300x225.png	(from https://wanjerisolutions.com/)
12:39:34	357088/357088	---MCZ	200	added ('OK')	text/html	date:Sun,%2016%20Oct%202022%2009:40:45%20GMT	https://wanjerisolutions.com/wishlist/	D:/Jomwanje's%20Production%20Tools/Wanjeri/wanjerisolutions.com/wishlist/index.html	(from https://wanjerisolutions.com/)
12:39:34	417165/417165	---MCZ	200	added ('OK')	text/html	date:Sun,%2016%20Oct%202022%2009:40:46%20GMT	https://wanjerisolutions.com/cart/	D:/Jomwanje's%20Production%20Tools/Wanjeri/wanjerisolutions.com/cart/index.html	(from https://wanjerisolutions.com/)
12:39:34	21689/21689	---M--	200	added ('OK')	image/png	date:Fri,%2026%20Aug%202022%2009:53:04%20GMT	https://wanjerisolutions.com/wp-content/plugins/order-on-mobile-for-woocommerce/public//img/whatsapp-button.png	D:/Jomwanje's%20Production%20Tools/Wanjeri/wanjerisolutions.com/wp-content/plugins/order-on-mobile-for-woocommerce/public/img/whatsapp-button.png	(from https://wanjerisolutions.com/)
12:39:34	383754/383754	---MCZ	200	added ('OK')	text/html	date:Sun,%2016%20Oct%202022%2009:40:47%20GMT	https://wanjerisolutions.com/shop/writing-accounts/writing-accounts/	D:/Jomwanje's%20Production%20Tools/Wanjeri/wanjerisolutions.com/shop/writing-accounts/writing-accounts/index.html	(from https://wanjerisolutions.com/)
12:39:34	18036/18036	---M--	200	added ('OK')	image/png	date:Thu,%2018%20Aug%202022%2001:16:58%20GMT	https://wanjerisolutions.com/wp-content/uploads/2022/08/4-1-300x300-1-300x225.png	D:/Jomwanje's%20Production%20Tools/Wanjeri/wanjerisolutions.com/wp-content/uploads/2022/08/4-1-300x300-1-300x225.png	(from https://wanjerisolutions.com/)
12:39:35	18484/18484	---M--	200	added ('OK')	image/png	date:Thu,%2018%20Aug%202022%2001:16:58%20GMT	https://wanjerisolutions.com/wp-content/uploads/2022/08/3-1-300x300-1-300x225.png	D:/Jomwanje's%20Production%20Tools/Wanjeri/wanjerisolutions.com/wp-content/uploads/2022/08/3-1-300x300-1-300x225.png	(from https://wanjerisolutions.com/)
12:39:35	0/0	---M--	302	error ('Found')	text/html	date:Sun,%2016%20Oct%202022%2009:40:48%20GMT	https://wanjerisolutions.com/?add-to-cart=47	D:/Jomwanje's%20Production%20Tools/Wanjeri/wanjerisolutions.com/index1e32.html	(from https://wanjerisolutions.com/)
12:39:36	32598/32598	---M--	200	added ('OK')	image/png	date:Thu,%2018%20Aug%202022%2001:17:00%20GMT	https://wanjerisolutions.com/wp-content/uploads/2022/08/1-1-300x300-1-300x225.png	D:/Jomwanje's%20Production%20Tools/Wanjeri/wanjerisolutions.com/wp-content/uploads/2022/08/1-1-300x300-1-300x225.png	(from https://wanjerisolutions.com/)
12:39:36	383676/383676	---MCZ	200	added ('OK')	text/html	date:Sun,%2016%20Oct%202022%2009:40:49%20GMT	https://wanjerisolutions.com/shop/writing-accounts/51/	D:/Jomwanje's%20Production%20Tools/Wanjeri/wanjerisolutions.com/shop/writing-accounts/51/index.html	(from https://wanjerisolutions.com/)
12:39:37	0/0	---M--	302	error ('Found')	text/html	date:Sun,%2016%20Oct%202022%2009:40:49%20GMT	https://wanjerisolutions.com/?add-to-cart=51	D:/Jomwanje's%20Production%20Tools/Wanjeri/wanjerisolutions.com/index0d9f.html	(from https://wanjerisolutions.com/)
12:39:37	383720/383720	---MCZ	200	added ('OK')	text/html	date:Sun,%2016%20Oct%202022%2009:40:49%20GMT	https://wanjerisolutions.com/shop/writing-accounts/studypool-rising-star/	D:/Jomwanje's%20Production%20Tools/Wanjeri/wanjerisolutions.com/shop/writing-accounts/studypool-rising-star/index.html	(from https://wanjerisolutions.com/)
12:39:37	14134/14134	---M--	200	added ('OK')	image/png	date:Thu,%2018%20Aug%202022%2001:16:52%20GMT	https://wanjerisolutions.com/wp-content/uploads/2022/08/8-300x300-1-300x225.png	D:/Jomwanje's%20Production%20Tools/Wanjeri/wanjerisolutions.com/wp-content/uploads/2022/08/8-300x300-1-300x225.png	(from https://wanjerisolutions.com/)
12:39:37	0/0	---M--	302	error ('Found')	text/html	date:Sun,%2016%20Oct%202022%2009:40:50%20GMT	https://wanjerisolutions.com/?add-to-cart=49	D:/Jomwanje's%20Production%20Tools/Wanjeri/wanjerisolutions.com/index3871.html	(from https://wanjerisolutions.com/)
12:39:38	17952/17952	---M--	200	added ('OK')	image/png	date:Thu,%2018%20Aug%202022%2001:16:57%20GMT	https://wanjerisolutions.com/wp-content/uploads/2022/08/1-300x300-1-300x225.png	D:/Jomwanje's%20Production%20Tools/Wanjeri/wanjerisolutions.com/wp-content/uploads/2022/08/1-300x300-1-300x225.png	(from https://wanjerisolutions.com/)
12:39:38	12851/12851	---M--	200	added ('OK')	image/png	date:Thu,%2018%20Aug%202022%2001:16:54%20GMT	https://wanjerisolutions.com/wp-content/uploads/2022/08/5-300x300-1-300x225.png	D:/Jomwanje's%20Production%20Tools/Wanjeri/wanjerisolutions.com/wp-content/uploads/2022/08/5-300x300-1-300x225.png	(from https://wanjerisolutions.com/)
12:39:38	0/0	---M--	302	error ('Found')	text/html	date:Sun,%2016%20Oct%202022%2009:40:51%20GMT	https://wanjerisolutions.com/?add-to-cart=45	D:/Jomwanje's%20Production%20Tools/Wanjeri/wanjerisolutions.com/indexec93.html	(from https://wanjerisolutions.com/)
12:39:39	391151/391151	---MCZ	200	added ('OK')	text/html	date:Sun,%2016%20Oct%202022%2009:40:51%20GMT	https://wanjerisolutions.com/shop/writing-accounts/writing-creek/	D:/Jomwanje's%20Production%20Tools/Wanjeri/wanjerisolutions.com/shop/writing-accounts/writing-creek/index.html	(from https://wanjerisolutions.com/)
12:39:39	17260/17260	---M--	200	added ('OK')	image/png	date:Thu,%2018%20Aug%202022%2001:16:56%20GMT	https://wanjerisolutions.com/wp-content/uploads/2022/08/3-300x300-1-300x225.png	D:/Jomwanje's%20Production%20Tools/Wanjeri/wanjerisolutions.com/wp-content/uploads/2022/08/3-300x300-1-300x225.png	(from https://wanjerisolutions.com/)
12:39:39	0/0	---M--	302	error ('Found')	text/html	date:Sun,%2016%20Oct%202022%2009:40:52%20GMT	https://wanjerisolutions.com/?add-to-cart=67	D:/Jomwanje's%20Production%20Tools/Wanjeri/wanjerisolutions.com/index1950.html	(from https://wanjerisolutions.com/)
12:39:39	399666/399666	---MCZ	200	added ('OK')	text/html	date:Sun,%2016%20Oct%202022%2009:40:52%20GMT	https://wanjerisolutions.com/shop/writing-tools/express-vpn/	D:/Jomwanje's%20Production%20Tools/Wanjeri/wanjerisolutions.com/shop/writing-tools/express-vpn/index.html	(from https://wanjerisolutions.com/)
12:39:40	8656/8656	---M--	200	added ('OK')	image/jpeg	date:Tue,%2023%20Aug%202022%2002:57:52%20GMT	https://wanjerisolutions.com/wp-content/uploads/2022/08/Academia-300x225.jpeg	D:/Jomwanje's%20Production%20Tools/Wanjeri/wanjerisolutions.com/wp-content/uploads/2022/08/Academia-300x225.jpg	(from https://wanjerisolutions.com/)
12:39:40	0/0	---M--	302	error ('Found')	text/html	date:Sun,%2016%20Oct%202022%2009:40:53%20GMT	https://wanjerisolutions.com/?add-to-cart=53	D:/Jomwanje's%20Production%20Tools/Wanjeri/wanjerisolutions.com/indexacaf.html	(from https://wanjerisolutions.com/)
12:39:40	6389/6389	---M--	200	added ('OK')	image/jpeg	date:Wed,%2024%20Aug%202022%2021:02:12%20GMT	https://wanjerisolutions.com/wp-content/uploads/2022/08/bartleby-300x225.jpeg	D:/Jomwanje's%20Production%20Tools/Wanjeri/wanjerisolutions.com/wp-content/uploads/2022/08/bartleby-300x225.jpg	(from https://wanjerisolutions.com/)
